record,sample,symbol,channel,class
100,77,N,MLII,0
100,370,N,MLII,0
100,662,N,MLII,0
100,946,N,MLII,0
100,1231,N,MLII,0
100,1515,N,MLII,0
100,1809,N,MLII,0
100,2044,A,MLII,0
100,2402,N,MLII,0
100,2706,N,MLII,0
100,2998,N,MLII,0
100,3282,N,MLII,0
100,3560,N,MLII,0
100,3862,N,MLII,0
100,4170,N,MLII,0
100,4466,N,MLII,0
100,4764,N,MLII,0
100,5060,N,MLII,0
100,5346,N,MLII,0
100,5633,N,MLII,0
100,5918,N,MLII,0
100,6214,N,MLII,0
100,6527,N,MLII,0
100,6823,N,MLII,0
100,7106,N,MLII,0
100,7391,N,MLII,0
100,7670,N,MLII,0
100,7953,N,MLII,0
100,8245,N,MLII,0
100,8539,N,MLII,0
100,8837,N,MLII,0
100,9141,N,MLII,0
100,9431,N,MLII,0
100,9710,N,MLII,0
100,9998,N,MLII,0
100,10282,N,MLII,0
100,10591,N,MLII,0
100,10894,N,MLII,0
100,11191,N,MLII,0
100,11480,N,MLII,0
100,11781,N,MLII,0
100,12066,N,MLII,0
100,12350,N,MLII,0
100,12645,N,MLII,0
100,12949,N,MLII,0
100,13266,N,MLII,0
100,13562,N,MLII,0
100,13842,N,MLII,0
100,14131,N,MLII,0
100,14423,N,MLII,0
100,14710,N,MLII,0
100,15011,N,MLII,0
100,15310,N,MLII,0
100,15607,N,MLII,0
100,15899,N,MLII,0
100,16183,N,MLII,0
100,16464,N,MLII,0
100,16755,N,MLII,0
100,17058,N,MLII,0
100,17358,N,MLII,0
100,17657,N,MLII,0
100,17947,N,MLII,0
100,18227,N,MLII,0
100,18514,N,MLII,0
100,18795,N,MLII,0
100,19080,N,MLII,0
100,19388,N,MLII,0
100,19693,N,MLII,0
100,19989,N,MLII,0
100,20271,N,MLII,0
100,20554,N,MLII,0
100,20837,N,MLII,0
100,21131,N,MLII,0
100,21423,N,MLII,0
100,21729,N,MLII,0
100,22029,N,MLII,0
100,22321,N,MLII,0
100,22603,N,MLII,0
100,22881,N,MLII,0
100,23164,N,MLII,0
100,23453,N,MLII,0
100,23756,N,MLII,0
100,24053,N,MLII,0
100,24345,N,MLII,0
100,24625,N,MLII,0
100,24913,N,MLII,0
100,25197,N,MLII,0
100,25485,N,MLII,0
100,25779,N,MLII,0
100,26088,N,MLII,0
100,26387,N,MLII,0
100,26670,N,MLII,0
100,26952,N,MLII,0
100,27237,N,MLII,0
100,27536,N,MLII,0
100,27833,N,MLII,0
100,28132,N,MLII,0
100,28431,N,MLII,0
100,28727,N,MLII,0
100,29014,N,MLII,0
100,29294,N,MLII,0
100,29580,N,MLII,0
100,29873,N,MLII,0
100,30182,N,MLII,0
100,30487,N,MLII,0
100,30779,N,MLII,0
100,31065,N,MLII,0
100,31348,N,MLII,0
100,31635,N,MLII,0
100,31927,N,MLII,0
100,32224,N,MLII,0
100,32529,N,MLII,0
100,32836,N,MLII,0
100,33127,N,MLII,0
100,33403,N,MLII,0
100,33691,N,MLII,0
100,33980,N,MLII,0
100,34274,N,MLII,0
100,34575,N,MLII,0
100,34870,N,MLII,0
100,35168,N,MLII,0
100,35455,N,MLII,0
100,35736,N,MLII,0
100,36016,N,MLII,0
100,36309,N,MLII,0
100,36605,N,MLII,0
100,36916,N,MLII,0
100,37215,N,MLII,0
100,37499,N,MLII,0
100,37782,N,MLII,0
100,38071,N,MLII,0
100,38356,N,MLII,0
100,38651,N,MLII,0
100,38950,N,MLII,0
100,39252,N,MLII,0
100,39547,N,MLII,0
100,39825,N,MLII,0
100,40096,N,MLII,0
100,40382,N,MLII,0
100,40677,N,MLII,0
100,40970,N,MLII,0
100,41271,N,MLII,0
100,41567,N,MLII,0
100,41849,N,MLII,0
100,42117,N,MLII,0
100,42416,N,MLII,0
100,42697,N,MLII,0
100,42996,N,MLII,0
100,43307,N,MLII,0
100,43603,N,MLII,0
100,43892,N,MLII,0
100,44172,N,MLII,0
100,44455,N,MLII,0
100,44743,N,MLII,0
100,45030,N,MLII,0
100,45323,N,MLII,0
100,45628,N,MLII,0
